LOCATION NAME,DISPLAY_CALL_NO,ITEM_ENUM,CHRON,CountOfCHARGE_DATE,TITLE
,HF5415.1255 .Y8 2010,,,3,Brand media strategy : integrated communications planning in the digital era / Antony Young. 
,HF5415.1265 .B78 2000,,,1,Eng@ged customer: the new rules of Internet direct marketing / Hans Peter Brondmo. 
,HF5415.1265 .C34 2008,,,3,EMarketing eXellence : planning and optimizing your digital marketing / Dave Chaffey and PR Smith. 
,HF5415.1265 .In8 2000,,,1,"Internet marketing : strategy, implementation and practice / David Chaffey... [et al.]. "
,HF5415.1265 .R39 2010,,,6,"Quick start guide to social media marketing : high impact, low-cost marketing that works / Neil Richardson, Ruth M Gosnay and Angela Carroll. "
,HF5415.1265 .R39 2010,,,3,Quick start guide to mobile marketing : how to create a dynamic campaign and improve your competitive advantage / Neil Richardson. 
,HF5415.1265 .Sco8 2007,,,1,"New rules of marketing and PR : how to use news releases, blogs, podcasting, viral marketing, and online media to reach your buyers directly / by David Meerman Scott. "
,HF5415.127 .H76 1998,,,1,"Marketing strategy and competitive positioning / Graham J. Hooley, John A. Saunders, Nigel F. Piercy. "
,HF5415.13 .B75 1995,,,1,Cases in marketing management / edited by Ross Brennan. 
,HF5415.13 .K84 1997,,,1,"Marketing management : analysis, planning, implementation, and control / Philip Kotler. "
,HF5415.13 .K84 1999,,,4,"Kotler on marketing : how to create, win, and dominate markets / Philip Kotler. "
,HF5415.13 .K84 2000,,,2,Marketing management / Philip Kotler. 
,HF5415.13 .K84 2006,,,2,"Marketing management / Philip Kotler, Kevin Keller. "
,HF5415.13 .K84 2009,,,11,"Marketing management / Philip Kotler, Kevin Lane Keller. "
,HF5415.13 .M86 1995,,,1,Cases in marketing management / Luiz Moutinho. 
,HF5415.13 .P42 2008,,,27,"Basic marketing : a marketing strategy planning approach / William D. Perreault, Joseph P. Cannon, E. Jerome McCarthy. "
,HF5415.13 .P44 2001,,,1,"Marketing management : knowledge and skills / J. Paul Peter, James H. Donnelly, Jr. "
,HF5415.13 .W52 2006,,,3,How to write a marketing plan / John Westwood. 
,HF5415.13 .W52 2011,,,9,Marketing your business / John Westwood. 
,HF5415.135 .K45 2010,,,8,"Strategic marketing problems : cases and comments / Roger A. Kerin, Robert A. Peterson. "
,HF5415.135 .M24 2002,,,1,"Marketing game! : with student CD-Rom / Charlotte H. Mason, William D. Perreault, Jr. "
,HF5415.2 .B45 1993,,,1,Marketing research / G.C. Beri. 
,HF5415.2 .B93 1998,,,2,"Marketing research / Alvin C. Burns, Ronald F. Bush. "
,HF5415.2 .B93 2000,,,8,"Marketing research / Alvin C. Burns, Ronald F. Bush. "
,HF5415.2 .B93 2008,,,1,"Basic marketing research : using Microsoft Excel data analysis / Alvin C. Burns, Ronald F. Bush. "
,HF5415.2 .B93 2010,,,1,"Marketing research / Alvin C. Burns, Ronald F. Bush. "
,HF5415.2 .C47 2010,,,18,"Basic marketing research / Gilbert A. Churchill, Tom J. Brown, Tracy A. Suter. "
,HF5415.2 .L32 1998,,,2,"Marketing research / Donald R. Lehmann, Sunil Gupta, Joel H. Steckel. "
,HF5415.2 .M14 2001,,,4,"Marketing research essentials / Carl McDaniel Jr., Roger Gates. "
,HF5415.2 .M24 2012,,,6,Market research toolbox : a concise guide for beginners / Edward F. McQuarrie. 
,HF5415.2 .M29 1999,,,1,Marketing research : an applied orientation / Naresh K. Malhotra. 
,HF5415.2 .M33 2001,,,3,Qualitative market research : a comprehensive guide / Hy Mariampolski. 
,HF5415.2 .Sch5 2006,,,4,"Marketing research : an international approach / Marcus J. Schmidt, Svend Hollensen. "
,HF5415.2 .W84 1999,,,5,Marketing research / Wong Toon Quee. 
,HF5415.2 .W93 2000,,,3,Marketing research process / Len Tiu Wright and Margaret Crimp. 
,HF5415.2 .Z6 2010,,,23,"Essentials of marketing research / William G. Zikmund, Barry J. Babin. "
,HF5415.2 MAR 1997,,,2,Marketing research guide / Robert E. Stevens ... [et al.]. 
,HF5415.32 .B11 2009,,,20,"CB, 2008-2009 / Barry J. Babin, Eric G. Harris. "
,HF5415.32 .So4 2011,,,3,"Consumer behavior : buying, having, and being / Michael R. Solomon. "
,HF5415.32 ENG 1995,,,2,"Consumer behavior / James F. Engel, Roger D. Blackwell, Paul W. Miniard. "
,HF5415.335 .H32 2008,,,1,"Measuring customer satisfaction and loyalty : survey design, use, and statistical analysis methods / Bob E. Hayes. "
,HF5415.5 .An2 2002,,,9,"Customer relationship management / Kristin Anderson, Carol Kerr. "
,HF5415.5 .B98 2009,,,1,Customer relationship management : concepts and technologies / Francis Buttle. 
,HF5415.5 .C96 2008 DVD ROM,,,2,Customer service [videorecording]. 
,HF5415.5 .G35 2008,,,60,World of customer service / Pattie Gibson-Odgers. 
,HF5415.5 .G56 2008,,,1,CRM in real time : empowering customer relationships / Barton J. Goldenberg. 
,HF5415.5 .H24 2000,,,2,Customer service : a practical approach / Elaine K. Harris. 
,HF5415.5 .M56 2012,,,3,"Social customer : how brands can use social CRM to acquire, monetize, and retain fans, friends, and followers / Adam Metz. "
,HF5415.5 .Se6 2003,,,2,Serving customers --helping people [videorecording] / produced by MPIX Communications exclusively for Kantola Productions. 
,HF5415.5 .Si1 2003 DVD,,,2,Organizing your business around the customer [videorecording] / Roger Siboni. 
,HF5415.5 .Z3 1990,,,6,"Delivering quality service : balancing customer perceptions and expectations / Valarie A. Zeithaml, A. Parasuraman, Leonard L. Berry. "
,HF5415.55 .B23 2008,,,48,"Principles of customer relationship management / Roger J. Baran, Robert J. Galka, Daniel P. Strunk. "
,HF5415.55 .G95 2008,,,1,"Total Relationship Marketing : Marketing Management, Relationship Strategy ,CRM, and a New Dominant Logic for the Value-Creating Network Economy. "
,HF5429 .B45 2010,,,1,"Retail management : a strategic approach / Barry Berman, Joel R. Evans. "
,HF5438.25 .B56 2004,,,2,Stop whining! start selling! : profit-producing strategies for explosive sales results / Jeff Blackman. 
,HF5438.25 .M31 2001,,,2,"Selling today : building quality partnerships / Gerald L. Manning, Barry L. Reece. "
,HF5438.25 .M31 2007,,,1,"Selling today : creating customer value / Gerald L. Manning, Barry L. Reece. "
,HF5438.25 .M31 2010,,,11,"Selling today : creating customer value / Gerald L. Manning, Barry L. Reece, Michael Ahearne. "
,HF5438.25 MAN 1998,,,2,"Selling today : building quality partnerships / Gerald L. Manning, Barry L. Reece. "
,HF5547 .C25a2 2001,,,1,"Administration. NVQ level 3., Student handbook. "
,HF5547 .Q4 2001,,,16,Administrative office management : an introduction / Zane K. Quible. 
,HF5547.15 .W73 2001,,,1,"Organized executive : the classic program for productivity : new ways to manage time, paper, people, and the digital office / Stephanie Winston. "
,HF5547.5 .C78 2006,,,4,Professional office procedures / Susan H. Cooperman. 
,HF5547.5 .F95 2004,,,11,"Procedures & theory for administrative professionals / Patsy Fulton-Calkins, Karin M. Stulz. "
,HF5547.5 .St8 2004,,,2,"Administrative assistant's & secretary's handbook / James Stroman, Kevin Wilson, Jennifer Wauson. "
,HF5548.32 .Ec7 2005,,,1,"E-commerce and M-commerce technologies / P. Candace Deans, editor. "
,HF5548.32 .M22 2003,,,1,"E-commerce basics / Bruce McLaren, Constance H. McLaren. "
,HF5548.32 .Sch5 2006,,,6,Electronic commerce / Gary P. Schneider. 
,HF5548.325.U6 .D36 2001,,,1,E-shock : the new rules-Internet strategies for retailers and manufacturers / Michael de Kare-Silver. 
,HF5548.4.M525 .G53 2007,,,1,Go! with Microsoft Office 2003 : brief / Robert L. Ferrett ... [et al.]. 
,HF5548.8 .L23 2007,,,5,"Work in the 21st century : an introduction to industrial and organizational psychology / Frank J. Landy, Jeffrey M. Conte. "
,HF5548.8 .L62 2006,,,3,Dealing with difficult people / Roy Lilley. 
,HF5548.8 .M19 2000,,,1,Business psychology and organisational behaviour : a student's handbook / Eugene McKenna. 
,HF5548.8 .M66 1992,,,6,Industrial-organizational psychology / John B. Miner. 
,HF5548.8 .R44 2000,,,3,"Introduction to industrial/organizational psychology / Ronald E. Riggio ; consulting editor, Lyman W. Porter. "
,HF5548.8 .R44 2003,,,9,"Introduction to industrial/organizational psychology / Ronald E. Riggio ; consulting editor, Lyman W. Porter. "
,HF5548.8 .R44 2008,,,36,"Introduction to industrial/organizational psychology / Ronald E. Riggio ; consulting editor, Lyman W. Porter. "
,HF5548.8 .Sm5 1998,,,2,Psychology of work and human performance / Robert D. Smither. 
,HF5548.85 .P85 1996 HEC,,,1,Preventing job burnout : transforming work pressures into productivity / Beverly A. Potter ; illustrations by Mary Swetnika. 
,HF5549 .12 .P41 2008 DVD ROM,,,2,Performance appraisal & supervision [videorecording]. 
,HF5549 .Am6 2003 DVD,,,2,People-first management [videorecording] : creating a culture of trust / Stanford Video. 
,HF5549 .Ar5 2011,Dept.,,3,Armstrong's handbook of strategic human resource management / Michael Armstrong. 
,HF5549 .B63 2010,,,65,"Principles of human resource management / George Bohlander, Scott Snell. "
,HF5549 .B63a 2010,,,86,"Managing human resources / George Bohlander, Scott Snell. "
,HF5549 .B73 2003,,,4,Human resource management : theory and practice / John Bratton and Jeffrey Gold. 
,HF5549 .C26 2003,,,1,"Managing human resources : productivity, quality of work life, profits / Wayne F. Cascio. "
,HF5549 .C41 2001,,,2,Mastering human resource management / Kelvin Cheatle. 
,HF5549 .D35 1988,,,1,Personnel/human resource management. 
,HF5549 .Ev6 1999 HEC,,,1,"Evolving practices in human resource management : responses to a changing world of work / Allen I. Kraut, Abraham K. Korman, editors ; foreword by Manuel London. "
,HF5549 .F98 2005,,,3,"Future of human resource management : 64 thought leaders explore the critical HR issues of today and tomorrow / edited by Michael Losey, Sue Meisinger, Dave Ulrich. "
,HF5549 .Fr88 1998,,,3,Human resources management / Wendell L. French. 
,HF5549 .Fr88 2003,,,8,Human resources management / Wendell L. French. 
,HF5549 .G58 2001 HEC,,,3,Error(12001)
,HF5549 .H21 2008 DVD ROM,,,2,"Harassment, crisis planning & stress in the workplace [Videorecording]. "
,HF5549 .H69 2010,,,1,HR leadership / by Linda Holbeche. 
,HF5549 .H88 2007,,,4,Human resource management : a critical text / [edited by] John Storey. 
,HF5549 .H88 2010,,,2,Human resource management : a contemporary approach / edited by Julie Beardwell and Tim Claydon. 
,HF5549 .H88 2011,,,1,Human resource management : the key concepts / edited by Chris Rowley and Keith Jackson. 
,HF5549 .Im9 1991,,,1,Effective supervisor's handbook / Louis V. Imundo. 
,HF5549 .Iv1 2004,,,3,Human resource management / John M. Ivancevich. 
,HF5549 .K86 2012,,,3,"Human resource management in a global context : a critical approach / Robin Kramar, Australian Catholic University, Australia, Jawad Syed, University of Kent, UK. "
,HF5549 .M13 2001,,,2,Auditing your human resources department : a step-by-step guide / John H. McConnell. 
,HF5549 .M31 2004,,,2,Managing people [videorecording] : key skills for great managers / OPUS presents ; Kantola Productions. 
,HF5549 .M44 2001,,,1,Introduction to human resource management : theory and practice / Linda Maund. 
,HF5549 .Q2 2008,,,2,"Quality management, motivation & time management [videorecording]. "
,HF5549 .St8 2000,,,5,Introduction to human resource management / John Stredwick. 
,HF5549 .St8 2005,,,6,"Strategic human resource management : theory and practice / edited by Graeme Salaman, John Storey, and Jon Billsberry. "
,HF5549 .T98 1997,,,2,Essentials of HRM / Shaun Tyson and Alfred York. 
,HF5549 .W17 1999,,,3,Strategic human resource development 
,HF5549 .W49 2006,,,6,"Human resource development / Jon M. Werner, Randy L. DeSimone. "
,HF5549.12 .B46 2000,,,10,Supervisory management / P.W. Betts. 
,HF5549.12 .B48 1993,,,2,Supervisory management / P.W. Betts. 
,HF5549.12 .Ev1 1999,,,2,Supervisory management : principles and practice / David Evans. 
,HF5549.12 .H83 1994,,,2,Supervision and principles of management / Tan Kwang How. 
,HF5549.12 .R53 2001,,,1,"Supervision today! / Stephen P. Robbins, David A. DeCenzo ; Charles Beem, contributor to cases. "
,HF5549.17 .Ar5 2001,,,1,Handbook of human resource management practice / Michael Armstrong. 
,HF5549.17 .Ar5 2003,,,1,Handbook of human resource management practice / Michael Armstrong. 
,HF5549.17 .Ar5 2006,,,13,Handbook of human resource management practice / Michael Armstrong. 
,HF5549.17 .Ar5 2009,,,19,Armstrong's handbook of human resource management practice / Michael Armstrong. 
,HF5549.2.R44 .H61 2002,,,2,"Hiring success [videorecording] : a step-by-step guide / Toastmasters International Kantola Productions ; produced by Kantola Productions ; director, Tim Armstrong ; writers, Greg Brennan, Janet Conley. "
,HF5549.2.U5 .P99 1997,,,2,Human resources management for public and nonprofit organizations / Joan E. Pynes. 
,HF5549.5 .S45 .Se9 1997,,,2,Sexual harassment [videorecording] : serious business. 
,HF5549.5.C35 .Em7 1995 HEC,,,1,"Employees, careers, and job creation : developing growth-oriented human resource strategies and programs / Manuel London, editor ; foreword by Manuel London. "
,HF5549.5.C35 .L86 2001,,,3,Changing your career : practical advice to help you move on / Sally Longson. 
,HF5549.5.C6 .Ar7 1996,,,2,"Arts of criticism, [Videorecording] : giving and taking / director, Timothy Saint John; writers, Jean lebedun, Rick Kantola. "
,HF5549.5.C67 .M59 2011,,,6,"Compensation / George T. Milkovich, Jerry M. Newman, Barry Gerhart. "
,HF5549.5.D55 .Su1 2001,,,2,"Successful termination [videorecording] : it's your business! : employer rights & responsibilities / executive producer/writer, Hal Calbom ; director/editor, Phil Davies ; a production of 1 Minute Learning Corporation. "
,HF5549.5.E45 .In8 2005,,,2,International human resource management : a critical text / edited by Hugh Scullion and Margaret Linehan. 
,HF5549.5.I5 .M19 1998,,,1,"Managing through incentives : how to develop a more collaborative, productive, and profitable organization / Richard B. McKenzie, Dwight R. Lee. "
,HF5549.5.M3 .B38 2008,,,1,Strategic staffing : a comprehensive system for effective workforce planning / Thomas P. Bechet. 
,HF5549.5.M3 .B41 2010,,,23,"Strategic human resources planning / Monica Belcourt, Kenneth J. McBey. "
,HF5549.5.M5 .H21 2005,,,2,"Harassment and diversity [videorecording] : respecting differences / Kantola Productions ; produced in association with Legal Learning Group, Littler Mendelson, P.C. "
,HF5549.5.M63 .F77 2006,,,1,How to motivate people / Patrick Forsyth. 
,HF5549.5.M63 .M63 2004,,,2,Motivating your employees [videorecording] : rewards and recognition / Opus presents. 
,HF5549.5.R3 .F38 2013 HEC,,,4,Finally! : performance assessment that works! : big 5 performance management / Roger Ferguson. 
,HF5549.5.R3 .H24 2000,,,4,Improving employee performance / Nigel Harrison. 
,HF5549.5.R3 .H29 2001,,,4,Performance appraisals / Bob Havard. 
,HF5549.5.R3 .H83 1989,,,2,How supervisors should appraise employee performance [videorecording] / produced and distributed by Bureau of Business Practice. 
,HF5549.5.R3 .P41 2003,,,2,Performance appraisals [videorecording] : getting results / created by Toastmaster International. 
,HF5549.5.S38 .Sa1 2003,,,2,"Safe hiring [videorecording] : how you can avoid bad hires / Kantola Productions presents ; produced by Kantola Productions ; producer/director, Timothy Armstrong ; writers, Les Rosen, Janet Conley. "
,HF5549.5.T7 .K63 2005,,,1,Transferring learning to behavior : using the four levels to improve performance / Donald L. Kirkpatrick and James D. Kirkpatrick. 
,HF5549.5.T7 .R74 1998,,,1,Mastering the instructional design process : a systematic approach / William J. Rothwell and H. C. Kazanas. 
,HF5549.C6 HUG 1992,,,1,People skills : building business relationships. 
,HF5625.5 .W85 1996,,,2,Business accounting 2. 
,HF5635 .C38 1998,,,2,"Intermediate accounting / Lanny G. Chasteen, Richard E. Flaherty, Melvin C. O'Connor. "
,HF5635 .H78 2005,,,14,"Accounting / Charles T. Horngren, Walter T. Harrison, Jr., Linda Smith Bamber. "
,HF5635 .H96 1999,,,6,Business accounting / Jill Hussey and Roger Hussey. 
